,D001,D002,D004,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031
D001,0.0,0.35537899142758766,0.14562446109529995,0.05855229092071778,0.133510757556741,0.13124657735525114,0.21774694570078218,0.17811959149665232,0.2646509165933208,0.17850918261845322,0.4626430658819338,0.26711766556422456,0.28302272475203444,1.0,0.2565045564784769,0.26107307365038973,0.29117374116622996,0.14133799644640618,0.19682916830324768,0.1011266523311445,0.24438405165987998,0.1645638640937224,0.9483886048458144,0.251499371609321,0.2050251945193914,0.11566415684536253,0.24543033708748838,0.025044023088680104,0.041157853257832236,0.0,0.10950209856221725,0.25439037023704597,0.17106022112548455,0.08231290043402782
D002,0.0,0.0,0.20939532215571718,0.1773216011443409,0.16085994437992798,0.17697226837539112,0.2586262899685087,0.2037906019286485,0.26882281747505443,0.31447678039756904,0.3877009470488207,0.33279489097385784,0.2912611938474482,0.30742694067631454,0.2955319688316521,0.37400163011738174,0.31191503624427025,0.30828899860795667,0.9471314289841624,0.3562444684047493,0.38327193534577947,1.0,0.39485359137758214,0.45031958035854314,0.31938098187141545,0.17928376967854354,0.16176716910884392,0.07374980768183181,0.0,0.04958273530335635,0.1996792994544088,0.16271792340898505,0.25562139663389905,0.22718454896043902
D004,0.0,0.0,0.0,0.07813983507627262,0.012273668047651353,0.09342700528830014,0.11402755019860752,0.015798867522004528,0.22336218598768665,0.09511195869242478,0.16391346011252161,0.15624343379544847,0.21968180752963076,0.024154155289171947,0.22817288645160191,0.20430306552347383,0.3344569576980602,0.22527478288703137,0.20396869049692437,0.12227724268161602,0.27372351007631485,0.14042986063446614,0.2702984318502541,0.34523661952963397,0.48060330439231275,0.16086686239517775,0.11348438932368765,0.0,0.04592797504871644,0.061876905374247865,0.27416303050173,0.8292112518690259,1.0,0.14596567032983182
M001,0.0,0.0,0.0,0.0,0.4294911797519811,0.3442039629689343,0.43835187815836324,0.9739273729395416,0.47136394281710736,1.0,0.38237670997462186,0.2238111194318723,0.22723914206288054,0.08326972397954122,0.18745930888335735,0.24997011012117057,0.2863063367201798,0.15186354228652682,0.16519736162068663,0.1656305892123209,0.21321783893026905,0.13326317232228388,0.37129060136427555,0.3119990462239494,0.23211730214360346,0.007120478590434699,0.10931438967447289,0.10130290477136804,0.01786440923691587,0.0,0.09579301842980122,0.1267020015628587,0.11954353915493357,0.17836350552608465
M002,0.0,0.0,0.0,0.0,0.0,1.0,0.34165549893273006,0.3671814088720214,0.3448601499816815,0.6773409161756416,0.27232814697885294,0.2241332649373259,0.21413658714294145,0.14116270525675106,0.1656185172659682,0.20632029264424337,0.22615204267499772,0.1599159851405707,0.1621191396803481,0.14592006615905073,0.15987559921702593,0.1112810685298197,0.23470306998001422,0.2595577269316807,0.27931580078333595,0.2333937591166626,0.21690590723486697,0.08845672237652884,0.028348048501621134,0.0,0.18057241324943726,0.09698364325563842,0.09495874119040079,0.11218834455542608
M003,0.0,0.0,0.0,0.0,0.0,0.0,0.5028607419258926,0.6261755475208018,0.6280313627719847,1.0,0.4231526069765152,0.23471960326437533,0.28667318413039455,0.19171706057143462,0.2405794782277408,0.2564207845731546,0.2901604429834515,0.1836465986921096,0.19968161690288025,0.20598339538229513,0.2239476342982545,0.14835156019374052,0.39158838990043365,0.3394016106713331,0.27548133899265764,0.13067187904465072,0.1927395549330438,0.05596447218062674,0.0492865750354569,0.0,0.20997141575684009,0.18528593138579572,0.179077665386292,0.2532541880159417
M004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752795552127624,0.5285916768943018,1.0,0.4196521692070228,0.28375882429721244,0.2604794363576875,0.12023605700440677,0.2600875091835157,0.30315838360935665,0.3374842638937965,0.1271203509502299,0.11269647350246044,0.14620993125512513,0.19354073752738607,0.10495966076216492,0.39364698721667063,0.2991805006431052,0.2440237897441598,0.012079124345808694,0.03339138718049434,0.0225642952880654,0.0,0.0805703347784335,0.11225366302449426,0.10861725050458645,0.18948979848211286,0.17566693183070584
M005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833770268978171,1.0,0.4816407503400473,0.27225509468017783,0.2362596848894374,0.13332029898342762,0.25446429211624605,0.30442889592974953,0.3373330042499645,0.14380570422408234,0.19549029532555404,0.17295274643450442,0.26175759869731563,0.1822589710259116,0.426110787673545,0.3260649193315625,0.26139811066951746,0.05386013204630295,0.028980646097692665,0.05625115040426689,0.0,0.0035942330272164054,0.11567070689358382,0.18686333426305224,0.11584532718376726,0.1294448031500258
M006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111100533417509,1.0,0.39575123550599134,0.32942971256286974,0.2732934358883938,0.35502147460232386,0.4091272124281448,0.4879824558854458,0.22221633686563175,0.22853637561129708,0.26351464974020405,0.3520782553466572,0.2462284925220752,0.8359604815372209,0.48892049334759136,0.37646224015126356,0.12919572485964045,0.0,0.11453609593877903,0.06302530462118922,0.05787339419997833,0.2233241825887418,0.23358893967743175,0.18451362370466343,0.24058310775863406
M007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5067797352794836,0.41240632129427096,0.2078488710307194,0.40612607325754246,0.4945072438903519,0.6002319418035883,0.23752975298608356,0.22010690834568972,0.30204931233695437,0.423990320181589,0.2646955320057583,0.7393317290793733,0.5638943086868082,0.4182546938078272,0.0313818302498459,0.11386162783862006,0.07445141355918196,0.0,0.038543222903364906,0.2012914687169405,0.22007932591968382,0.26351067042685816,0.2593932706070922
